date,production,id
2020-12-15,300616.22,34
2020-12-15,147191.03,280
2020-12-15,203706.43,90
2020-12-15,158074.59,251
2020-12-15,388392.15,202
2020-12-15,333804.93,69
2020-12-15,49607.34,154
2020-12-15,80841.04,82
2020-12-15,74849.06,56
2020-12-15,104026.81,282
2020-12-15,74228.34,114
2020-12-15,108769.16,186
2020-12-15,221296.27,229
2020-12-15,44655.32,234
2020-12-15,124504.44,201
2020-12-15,399723.22,220
2020-12-15,742657.12,227
2020-12-15,187644.32,105
2020-12-15,275402.8,193
2020-12-15,147244.38,239
2020-12-15,276459.08,39
2020-12-15,119021.39,188
2020-12-15,331130.88,248
2020-12-15,70284.6,57
2020-12-15,70284.6,225
2020-12-15,199607.54,208
2020-12-15,163975.88,228
2020-12-15,184201.6,111
2020-12-15,335965.26,265
2020-12-15,293030.53,120
2020-12-15,52434.12,176
2020-12-15,49696.38,68
2020-12-15,104047.45,159
2020-12-15,67183.14,130
2020-12-15,-159292.21,207
2020-12-15,89821.47,24
2020-12-15,440540.63,135
2020-12-15,54265.22,231
2020-12-15,299281.34,143
2020-12-15,167130.4,43
2020-12-15,264418.22,157
2020-12-15,111419.53,181
2020-12-15,528434.32,258
2020-12-15,137644.9,40
2020-12-15,141453.31,70
2020-12-15,164991.56,246
2020-12-15,87989.8,283
2020-12-15,116561.69,20
2020-12-15,58836.32,2
2020-12-15,71825.31,133
2020-12-15,467981.86,256
2020-12-15,731400.35,8
2020-12-15,78820.1,172
2020-12-15,170756.18,44
2020-12-15,-11301.02,93
2020-12-15,62685.15,45
2020-12-15,7133.62,25
2020-12-15,237103.58,259
2020-12-15,288476.94,145
2020-12-15,165065.34,163
2020-12-15,70628.92,136
2020-12-15,124313.14,264
2020-12-15,115794.74,165
2020-12-15,104576.56,164
2020-12-15,219946.38,142
2020-12-15,172570.46,109
2020-12-15,248540.11,100
2020-12-15,379152.34,152
2020-12-15,164165.22,266
2020-12-15,96409.97,73
2020-12-15,156769.97,54
2020-12-15,578231.33,7
2020-12-15,365794.63,36
2020-12-15,127210.85,128
2020-12-15,47789.39,9
2020-12-15,185454.25,108
2020-12-15,240602.45,127
2020-12-15,141573.77,194
2020-12-15,51082.16,15
2020-12-15,378332.83,52
2020-12-15,51128.11,155
2020-12-15,969875.5948,77
2020-12-15,65490.07,131
2020-12-15,75216.96,98
2020-12-15,259069.77,101
2020-12-15,258500.41,182
2020-12-15,306732.41,139
2020-12-15,253213.76,267
2020-12-15,143094.97,84
2020-12-15,191632.38,179
2020-12-15,186277.08,263
2020-12-15,134464.28,86
2020-12-15,241491.8,275
2020-12-15,55189.97,215
2020-12-15,55189.97,240
2020-12-15,241491.8,3
2020-12-15,108037.46,245
2020-12-15,173187.41,23
2020-12-15,320547.06,173
2020-12-15,287504.49,122
2020-12-15,82690.28,166
2020-12-15,56652.04,119
2020-12-15,170247.13,272
2020-12-15,352224.44,190
2020-12-15,32929.06,238
2020-12-15,622309.07,167
2020-12-15,199072.29,168
2020-12-15,129979.84,27
2020-12-15,105145.16,230
2020-12-15,62342.42,1
2020-12-15,136919.38,148
2020-12-15,140180.95,169
2020-12-15,87293.33,149
2020-12-15,64335.71,253
2020-12-15,121901.6,254
2020-12-15,208242.18,50
2020-12-15,80995.14,71
2020-12-15,170132.3,19
2020-12-15,-65929.18,187
2020-12-15,151146.5,91
2020-12-15,155809.6,115
2020-12-15,151576.64,10
2020-12-15,125264.27,5
2020-12-15,183341.77,26
2020-12-15,310431.05,232
2020-12-15,34147.51,61
2020-12-15,23028.71,257
2020-12-15,193138.4,59
2020-12-15,92373.07,221
2020-12-15,204176.01,87
2020-12-15,118650.91,60
2020-12-15,133906.11,94
2020-12-15,79043.37,233
2020-12-15,81793.36,63
2020-12-15,223409.38,183
2020-12-15,101967.59,102
2020-12-15,153836.02,64
2020-12-15,76291.64,160
2020-12-15,335035.28,189
2020-12-15,70068.78,35
2020-12-15,91578.43,112
2020-12-15,218206.94,106
2020-12-15,144475.82,242
2020-12-15,101692.39,138
2020-12-15,104550.09,171
2020-12-15,181347.44,83
2020-12-15,101480.55,235
2020-12-15,138895.82,125
2020-12-15,90484.56,116
2020-12-15,28665.81,191
2020-12-15,52759.72,42
2020-12-15,97793.6,218
2020-12-15,159877.98,241
2020-12-15,122770.74,198
2020-12-15,268408.04,226
2020-12-15,276372.85,216
2020-12-15,145952.34,185
2020-12-15,315726.53,21
2020-12-15,437182.62,214
2020-12-15,242393.88,78
2020-12-15,222595.92,276
2020-12-15,136754.37,16
2020-12-15,209805.86,17
2020-12-15,32237.16,236
2020-12-15,42417.6,92
2020-12-15,-82614.3,29
2020-12-15,52302.63,177
2020-12-15,414303.87,277
2020-12-15,188253.74,88
2020-12-15,188091.66,13
2020-12-15,91134.88,117
2020-12-15,134785.24,129
2020-12-15,158165.94,222
2020-12-15,72378.0,11
2020-12-15,115345.16,255
2020-12-15,157163.25,204
2020-12-15,126128.06,237
2020-12-15,99837.96,212
2020-12-15,255625.3,75
2020-12-15,99368.94,197
2020-12-15,109559.98,247
2020-12-15,369487.71,249
2020-12-15,135565.04,18
2020-12-15,271711.01,62
2020-12-15,202346.7,158
2020-12-15,86088.85,141
2020-12-15,315991.53,156
2020-12-15,212487.42,150
2020-12-15,260767.41,132
2020-12-15,153703.3,203
2020-12-15,177319.98,113
2020-12-15,122579.89,206
2020-12-15,69223.28,53
2020-12-15,262597.14,97
2020-12-15,117097.38,195
2020-12-15,258101.83,28
2020-12-15,373837.71,153
2020-12-15,227186.1,137
2020-12-15,81146.78,268
2020-12-15,123825.84,175
2020-12-15,176610.33,140
2020-12-15,127673.63,200
2020-12-15,165209.56,210
2020-12-15,78578.45,284
2020-12-15,129653.22,217
2020-12-15,75961.9,96
2020-12-15,115864.17,103
2020-12-15,122433.41,12
2020-12-15,65261.61,211
2020-12-15,146393.02,174
2020-12-15,217587.37,41
2020-12-15,173945.25,278
2020-12-15,210382.5,89
2020-12-15,193586.31,213
2020-12-15,262675.09,146
2020-12-15,122382.75,79
2020-12-15,404048.88,47
2020-12-15,288904.07,209
2020-12-15,198737.79,269
2020-12-15,184961.21,161
2020-12-15,167732.6,134
2020-12-15,242357.91,14
2020-12-15,30352.56,110
2020-12-15,211114.06,118
